GSM	name
GSM5656685	CRC-PKU-10-pico
GSM5656686	CRC-PKU-12-pico
GSM5656687	CRC-PKU-13-pico
GSM5656688	CRC-PKU-14-pico
GSM5656689	CRC-PKU-15-pico
GSM5656690	CRC-PKU-16-pico
GSM5656691	CRC-PKU-17-pico
GSM5656692	CRC-PKU-18-pico
GSM5656693	CRC-PKU-19-pico
GSM5656694	CRC-PKU-20-pico
GSM5656695	CRC-PKU-21-pico
GSM5656696	CRC-PKU-22-pico
GSM5656697	CRC-PKU-23-pico
GSM5656698	CRC-PKU-24-pico
GSM5656699	CRC-PKU-25-pico
GSM5656700	CRC-PKU-26-pico
GSM5656701	CRC-PKU-27-pico
GSM5656702	CRC-PKU-28-pico
GSM5656703	CRC-PKU-29-pico
GSM5656704	CRC-PKU-2-pico
GSM5656705	CRC-PKU-30-pico
GSM5656706	CRC-PKU-31-pico
GSM5656707	CRC-PKU-32-pico
GSM5656708	CRC-PKU-33-pico
GSM5656709	CRC-PKU-34-pico
GSM5656710	CRC-PKU-35-pico
GSM5656711	CRC-PKU-36-pico
GSM5656712	CRC-PKU-37-pico
GSM5656713	CRC-PKU-38-pico
GSM5656714	CRC-PKU-39-pico
GSM5656715	CRC-PKU-3-pico
GSM5656716	CRC-PKU-40-pico
GSM5656717	CRC-PKU-41-pico
GSM5656718	CRC-PKU-4-pico
GSM5656719	CRC-PKU-5-pico
GSM5656720	CRC-PKU-6-pico
GSM5656721	CRC-PKU-8-pico
GSM5656722	CRC-PKU-9-pico
GSM5656723	CRC-PKU-mix1-1-pico
GSM5656724	CRC-PKU-mix1-2-pico
GSM5656725	CRC-PKU-mix1-3-pico
GSM5656726	NC-PKU-10-pico
GSM5656727	NC-PKU-11-pico
GSM5656728	NC-PKU-12-pico
GSM5656729	NC-PKU-13-pico
GSM5656730	NC-PKU-14-pico
GSM5656731	NC-PKU-9-pico
GSM5656732	NC-PKU-mix1-1-pico
GSM5656733	NC-PKU-mix1-2-pico
GSM5656734	NC-PKU-mix1-3-pico
GSM5656735	NC-PKU-mix15-pico
GSM5656736	NC-PKU-mix16-pico
GSM5656737	NC-PKU-mix17-pico
GSM5656738	NC-PKU-mix18-pico
GSM5656739	NC-PKU-mix19-pico
GSM5656740	NC-PKU-mix20-pico
GSM5656741	NC-PKU-mix2-1-pico
GSM5656742	NC-PKU-mix21-pico
GSM5656743	NC-PKU-mix2-2-pico
GSM5656744	NC-PKU-mix22-pico
GSM5656745	NC-PKU-mix24-pico
GSM5656746	NC-PKU-mix25-pico
GSM5656747	NC-PKU-mix26-pico
GSM5656748	NC-PKU-mix27-pico
GSM5656749	NC-PKU-mix28-pico
GSM5656750	NC-PKU-mix29-pico
GSM5656751	NC-PKU-mix30-pico
GSM5656752	NC-PKU-mix3-1-pico
GSM5656753	NC-PKU-mix3-2-pico
GSM5656754	NC-PKU-mix3-3-pico
GSM5656755	NC-PKU-mix3-4-pico
GSM5656756	NC-PKU-mix3-5-pico
GSM5656757	NC-PKU-mix4-1-pico
GSM5656759	NC-PKU-mix4-2-pico
GSM5656760	NC-PKU-mix5-1-pico
GSM5656762	NC-PKU-mix5-2-pico
GSM5656764	NC-PKU-mix5-3-pico
GSM5656765	NC-PKU-mix6-1-pico
GSM5656767	NC-PKU-mix6-2-pico
GSM5656769	NC-PKU-mix6-3-pico
GSM5656771	NC-PKU-mix6-4-pico
GSM5656773	NC-PKU-mix6-5-pico
GSM5656774	NC-PKU-mix6-6-pico
GSM5656776	NC-PKU-mix7-1-pico
GSM5656778	NC-PKU-mix7-2-pico
GSM5656780	NC-PKU-mix8-1-pico
GSM5656781	NC-PKU-mix8-2-pico
GSM5656783	NC-PKU-mix8-3-pico
GSM5656786	NC-PKU-mix8-4-pico
GSM5656787	NC-PKU-mix9-1-pico
GSM5656789	NC-PKU-mix9-2-pico
GSM5656792	STAD-PKU-10-pico
GSM5656794	STAD-PKU-11-pico
GSM5656796	STAD-PKU-12-pico
GSM5656797	STAD-PKU-13-pico
GSM5656798	STAD-PKU-15-pico
GSM5656799	STAD-PKU-16-pico
GSM5656800	STAD-PKU-17-pico
GSM5656801	STAD-PKU-18-pico
GSM5656802	STAD-PKU-19-pico
GSM5656803	STAD-PKU-1-pico
GSM5656804	STAD-PKU-21-pico
GSM5656805	STAD-PKU-22-pico
GSM5656806	STAD-PKU-23-pico
GSM5656807	STAD-PKU-24-pico
GSM5656808	STAD-PKU-25-pico
GSM5656809	STAD-PKU-26-pico
GSM5656810	STAD-PKU-27-pico
GSM5656811	STAD-PKU-28-pico
GSM5656812	STAD-PKU-29-pico
GSM5656813	STAD-PKU-2-pico
GSM5656814	STAD-PKU-30-pico
GSM5656815	STAD-PKU-31-pico
GSM5656816	STAD-PKU-32-pico
GSM5656817	STAD-PKU-33-pico
GSM5656818	STAD-PKU-34-pico
GSM5656819	STAD-PKU-35-pico
GSM5656820	STAD-PKU-36-pico
GSM5656821	STAD-PKU-37-pico
GSM5656822	STAD-PKU-38-pico
GSM5656823	STAD-PKU-3-pico
GSM5656824	STAD-PKU-4-pico
GSM5656825	STAD-PKU-5-pico
GSM5656826	STAD-PKU-6-pico
GSM5656827	STAD-PKU-7-pico
GSM5656828	STAD-PKU-8-pico
GSM5656829	STAD-PKU-9-pico
